electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,status
1101002009B00985,bc755dc8-f0ea-4aec-9080-c481f94177d6,北京市,北京市,西城区,西城区鼓楼西大街166号,39.953148,116.388845,39.882232,116.36492,1
1101002009B00951,1829b21a-c678-469f-b036-6ac7d81610b9,北京市,北京市,西城区,宣武区香厂路４１号,39.894274,116.398601,39.88616,116.383472,1
1101002009B05970,06557c68-d956-419a-9c36-267c44b51526C,北京市,北京市,东城区,水源九厂东侧,39.910925,116.413384,40.136208,116.477056,1
1101002010B10515,d7979449-5f40-42b1-8f23-c6bffced72e5,北京市,北京市,丰台区,丰台区草桥东路29号,39.841495,116.365342,39.8343,116.3524,1
1101172011B00075,a96a9a80-afe6-430e-b9dc-c992c7918c5c,北京市,北京市,平谷区,北京市平谷区兴谷经济开发区14号平瑞街1号,40.172498,117.151843,40.16504,117.138768,1
1101162009B00037,a139d848-3a2b-41da-82ab-8aa48d6bb2fa,北京市,北京市,怀柔区,怀柔区雁栖经济开发区C区,40.36953,116.67311,40.345668,116.678656,1
1101002009B07389,a7b4c8fe-41d2-4b82-82e2-6f28970a7ce2,北京市,北京市,平谷区,平谷区夏各庄镇（平蓟路南）,40.184988,117.271874,40.175432,117.24352,1
1102282012B00113,33d36ca9-3a8c-4ae3-b8d5-18d74de24648,北京市,北京市,密云县,密云县北庄镇朱家湾村,40.517188,117.154225,40.510868,117.142952,1
1101002011B15611,72fc474f-26e1-40f0-96c9-26497475f55e,北京市,北京市,西城区,西城区西绒线胡同12号,39.910179,116.385818,39.90312,116.377664,1
1101152010B00041,d0e76536-1485-4ee6-9a97-fe4bd41b62dc,北京市,北京市,大兴区,大兴区黄村镇孙村组团,39.706174,116.389949,39.706376,116.39596,1
1101002008B06333,7eac3277-d409-4a2c-b241-aeb80bc89dc3,北京市,北京市,海淀区,海淀区西三旗建材城,40.067226,116.368106,40.059552,116.355872,1
1101002010B11447,e1eb9175-bae9-4ca9-b40a-f25bc881d92b,北京市,北京市,西城区,西城区百万庄大街21号,39.934375,116.353144,39.927472,116.34032,1
1101002008B05258,315e10f0-e32b-48f6-8d50-4b458680d63e,北京市,北京市,西城区,宣武区陶然亭12号,39.884035,116.38174,39.88616,116.383472,1
1101002008B05455,5d8ca42b-7384-4c32-b685-3069db2be2fb,北京市,北京市,东城区,东城区东四十二条15号,39.932251,116.425225,39.91592,116.402632,1
1101002011B16629,0f0b98ab-354e-475d-9747-018974649dc7,北京市,北京市,顺义区,顺义区后沙峪中心区,40.111767,116.551449,40.11114,116.538464,1
1101002012B21173,c1064f88-0203-48ba-b9cd-9e683d309f01,北京市,北京市,大兴区,北京经济技术开发区路东区G9号街区G9F-1 G9F-2 G9F-3地块,39.801131,116.513005,39.802328,116.497896,1
1101002010B16151,2554b26f-8f97-46aa-9401-96b00defe15b,北京市,北京市,密云县,北京经济技术开发区南部新区X28街区X28F3地块,40.381414,116.857438,39.78916,116.491544,1
1101002010B16168,39be72d0-9cad-4f0b-8f87-ad9ea5269083,北京市,北京市,大兴区,北京经济技术开发区路东区E11号街区E11M1地块,39.801131,116.513005,39.78916,116.491544,1
